Productivity (1-5),,,,,,
Date,Productivity (1-5),Water (oz),Caffienated drinks,Outside Time,Sleep (hours),Screen Time (hours)
4/16,4,32,2,no,4.5,4.13
4/17,2,25,1,no,9,6.87
4/18,4,32,2,yes,7.5,6.46
4/19,2,40,1,yes,9.5,3.37
4/20,1,32,2,yes,3.5,3.23
4/21,4,40,1,no,8.5,2.97
4/22,4,30,1,no,1.5,5.05
4/23,3,34,1,yes,7,4.1
4/24,3,20,0,no,5.5,3.98
4/25,4,35,2,yes,7.5,3.66
4/26,3,28,2,yes,7.5,4.58
4/27,2,30,2,no,8.5,5.15
4/28,3,35,1,yes,6,6.6
4/29,5,33,2,no,6.5,3.25
4/30,2,27,2,no,7.5,3.5
5/1,3,31,1,no,8,4.75
5/2,4,37,0,yes,7.5,5.98
5/3,3,40,2,yes,5,3.12
5/4,4,40,2,yes,7.5,2.5
5/5,2,32,0,no,8,7.12
5/6,5,38,2,no ,7.5,5.07
5/7,3,28,1,yes,9,6.03
5/8,4,25,2,no ,7.5,6.4
5/9,2,22,0,no ,6.5,5.6
5/10,1,32,2,no,4,4.1
5/11,2,26,3,yes,8.5,4.98
5/12,4,34,2,yes,5.5,7.43
5/13,3,30,1,no,7.5,5.23
